FinalID,Model,b0,E,tl,th,el,eh,k,AIC
MTD2071,SI,0.0244289891707,1.32491816817,281.5362176,299.672022258,-0.000829815431286,4.33675753396,8.617e-05,-35.3958245393
MTD2073,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2079,SI,0.0160891820472,1.65428184216,293.477244658,6379.91473914,1.5666477397,4517.52807273,8.617e-05,-15.667647841
MTD2081,SI,0.0216403140304,1.42269281205,293.807027688,1679.96832734,1.42104292885,1543.87551319,8.617e-05,-16.7570955241
MTD2083,SI,0.108208317823,0.552387704505,295.798682426,-35452.834085,0.504478239252,229.438133434,8.617e-05,-21.4238755607
MTD2087,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2092,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2099,SI,1.5601826737,1.0524911283,7875.70163042,304.068329565,0.901064260021,4.04214552763,8.617e-05,30.7128874147
MTD2100,SI,1.97137732845,3.72789444475,282.716639946,284.233315157,1.10537876782,3.68536710324,8.617e-05,28.4565560807
MTD2101,SI,0.000416373020699,0.512366267245,295.629683872,407.555892607,0.41095168346,2.14991907038,8.617e-05,-81.77954245
MTD2102,SI,0.000305613155996,0.619881102592,298.448507173,303.186923738,0.000113748946682,3.07405072004,8.617e-05,-92.5868219799
MTD2103,SI,0.630522155279,-1.95682148452,309.029220707,-4443.49558505,-2.30426340324,61.4396110286,8.617e-05,-92.7155960343
MTD2104,SI,6.38934740115,15.9530602175,616.588967936,278.456521466,0.649999950494,15.9975572032,8.617e-05,-110.267723898
MTD2105,SI,9.70114491104e-05,0.142217018974,293.088093581,309.683995864,-0.000562517859477,2.63293847597,8.617e-05,-120.623873213
MTD2106,SI,6.18313197377e-05,1.42148592831,311.360401524,292.311066202,0.000141061856695,2.30507401845,8.617e-05,-103.972417218
MTD2107,SI,7.37946034105e-05,1.03265426447,280.298571202,291.080725004,0.513293244709,1.986322787,8.617e-05,-144.430729452
MTD2108,SI,0.00313416082734,-1.04939808593,304.054316629,-181078336.723,-1.51337225724,50353.4849819,8.617e-05,-141.256067501
MTD2109,SI,0.0160240348138,-1.39967305713,303.554515055,-674.260777102,-1.83119719305,35.2139270379,8.617e-05,-123.111977598
MTD2110,SI,5.07358646736e-05,0.411231733797,246.724893049,354.735649677,-1.07640843154e-05,11.1983315905,8.617e-05,-169.09404054
MTD2111,SI,0.0223919695335,-1.39852512477,313.864042867,-337346.868368,-1.72520043095,460.185955279,8.617e-05,-183.116162962
MTD2112,SI,6.78765148626e-05,0.863471960232,289.388767538,334.299169248,0.551297068756,9.53921978062,8.617e-05,-138.360286596
MTD2113,SI,0.00468415292531,-0.965277073349,309.176893629,-14869824.0197,-1.56045117948,60279.4776432,8.617e-05,-143.095750871
MTD2114,SI,5.51918195942e-06,0.850248385967,1064.6712441,310.940918831,0.649999997555,1.79089482047,8.617e-05,-140.104594583
MTD2115,SI,0.000691340719104,0.212253748875,294.942924672,-156.961560294,0.160467181674,0.32093436338,8.617e-05,-96.8319489993
MTD2116,SI,0.0038432971004,1.46085745601,271.314018955,273.989478256,0.64999999873,1.44189197912,8.617e-05,-120.865254711
MTD2117,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2118,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2136,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2137,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2138,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2139,SI,1.2975183394,0.881754012979,292.208645548,334.191041649,0.649999838949,6.56204844329,8.617e-05,9.28638914802
MTD2140,SI,0.117496593226,-0.790616176213,298.363337127,303.7459026,-4.4480298003,3.50462096446,8.617e-05,-86.3891332493
MTD2143,SI,3.45273474335e-11,0.745747525458,299.76369739,306.249085209,-0.000128302675352,3.12045890139,8.617e-05,-439.893180006
MTD2145,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2146,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2154,SI,31.2190289489,-1.0293578478,298.1033972,191186.520028,-2.37690294157,19745.5683903,8.617e-05,-10.5656193057
MTD2168,SI,0.0926896619267,2.06863782494,285.136572967,294.625766592,1.09147242241,3.80472550528,8.617e-05,-37.1602167321
MTD2169,SI,0.536226885086,0.686358022366,302.168252707,358.796454439,0.55854283373,16.7765704834,8.617e-05,25.555647734
MTD2170,SI,1.05906730988,0.383777342247,302.836131661,336.332027399,0.452620087076,9.14515442772,8.617e-05,37.5648147676
MTD2171,SI,0.81829984067,0.487860137806,294.7514286,-568.814824777,0.389348885471,1.3496952485,8.617e-05,7.90569435559
MTD2172,SI,0.535303004752,1.07089594872,280.052332499,295.984765802,0.557301008377,2.18476072647,8.617e-05,-10.6518905329
MTD2173,SI,0.439171010426,0.559550448534,307.729571619,300.115414211,-5.72050914722e-05,2.40688336436,8.617e-05,-16.8101030145
MTD2174,SI,1.61659719881,0.973614063773,272.232011684,307.421409014,0.649999806181,18.9404266684,8.617e-05,-10.2915680327
MTD2193,SI,0.0536330785908,0.973245585215,298.17796424,-2150.51812371,0.739041593706,23.4369873078,8.617e-05,-11.0252295505
MTD2194,SI,0.0271977074643,1.61662916575,291.947184431,301.237576501,0.950698979494,5.25146231436,8.617e-05,-27.0119611424
MTD2195,SI,0.0596548139828,0.955544687619,297.79836736,-1114788.92807,0.866750107059,17616.9075344,8.617e-05,-10.6178596988
MTD2196,SI,0.0668344029445,0.558637902914,291.060660183,304.582717238,-38.0104961192,4.83401684024,8.617e-05,-20.6047059193
MTD2197,SI,0.051435155319,0.995342694714,298.412397731,-28453.8441519,0.747927998162,270.166850651,8.617e-05,-12.3018659519
MTD2198,SI,0.0350050415474,0.90404986174,290.760784716,303.617959517,-29.3235296526,3.80465907274,8.617e-05,-13.7842454471
MTD2199,SI,0.941471969977,0.856776348301,294.431477132,303.807470024,0.679813305861,6.1688777654,8.617e-05,10.308603263
MTD2200,SI,0.470264501624,2.03934751966,289.461613434,296.442172334,1.23816838282,4.48432414019,8.617e-05,15.2240637238
MTD2201,SI,0.445051348308,1.34598636548,295.911861237,303.853558916,1.03153052349,11.1518188066,8.617e-05,27.8125826185
MTD2202,SI,0.810789917304,1.06716336502,294.621556055,303.832556975,0.988408126589,8.31157524249,8.617e-05,25.6494615066
MTD2203,SI,1.56674752008,0.864698763482,293.076827091,303.94344021,0.759364893496,9.35630785727,8.617e-05,28.6511405926
MTD2204,SI,0.750065482306,1.57932172909,290.936588046,299.375073137,0.891063580183,4.20571855215,8.617e-05,22.6767631875
MTD2205,SI,0.603712387201,1.72985593645,290.942836477,298.328536905,1.01889835605,3.82353558039,8.617e-05,20.0839104158
MTD2206,SI,0.398449187385,1.56238956382,293.544559839,300.539150588,1.12934087764,5.2602406035,8.617e-05,21.5000632642
MTD2207,SI,0.374883369662,1.55647763034,293.967043262,306.269834654,1.54057209273,14.4236270348,8.617e-05,37.6737959131
MTD2208,SI,1.00427364582,1.70529504358,289.587109131,297.706953286,0.875234783896,4.19685240921,8.617e-05,24.586037181
MTD2209,SI,1.06318006587,2.31136308837,284.088496626,291.423134114,1.00576482083,3.22436690723,8.617e-05,19.4325068844
MTD2210,SI,83.0419026472,-1.07092720753,296.667997118,306.898658846,-2.57844414261,6.93689981437,8.617e-05,15.7417982557
MTD2211,SI,2.13483182459,0.448553268525,283.893034723,301.353129775,-2.90355040301,4.62029350801,8.617e-05,-6.88988353067
MTD2212,SI,0.774573656728,1.3204175314,292.274723852,302.720676849,1.03599636771,7.76505251322,8.617e-05,27.8158524294
MTD2213,SI,0.775070077947,1.32346393888,293.32042625,303.200893746,1.07469645679,6.8510932881,8.617e-05,27.4070547333
MTD2214,SI,1.10441714868,1.31687106322,291.308714074,300.513757163,0.893194202134,4.66567249876,8.617e-05,21.9180233466
MTD2215,SI,2.89726347839,0.225441488116,286.917659594,305.164599442,-3.51197115051,4.42647903569,8.617e-05,3.58148196439
MTD2216,SI,6.69906154645,-0.193237022205,293.674295164,307.055209379,-2.65325153642,10.3753293188,8.617e-05,12.2066556738
MTD2217,SI,0.454561991542,3.82361495801,285.526049191,288.882957115,1.61873425974,4.36015235569,8.617e-05,24.8911978993
MTD2218,SI,1.07376028,1.79375052598,288.260263694,297.581182207,1.08443743359,6.22788747663,8.617e-05,30.8430207516
MTD2219,SI,0.734832933522,1.125948463,294.399515452,304.398934442,0.777342094714,8.27134328634,8.617e-05,17.5475083671
MTD2220,SI,0.443989688695,2.65279278084,288.377175831,293.096242435,1.2326565686,4.02541550049,8.617e-05,23.6181425908
MTD2221,SI,0.253850984746,2.70875039247,289.915006998,296.902928427,1.75117407647,5.52825885795,8.617e-05,36.6383432671
MTD2222,SI,1.43043509131,0.423783276623,288.327247797,305.099726285,-22.8843526007,5.77625038941,8.617e-05,-0.439024309183
MTD2223,SI,0.242734410796,2.07360530403,291.962052098,300.88042258,1.31382349883,6.41834296196,8.617e-05,30.4538615986
MTD2224,SI,0.178641779296,1.98817479219,293.657547685,301.080157539,1.20912268316,6.43783476484,8.617e-05,24.0819742171
MTD2225,SI,1.2507380551,1.14887082946,288.890061479,301.201948133,0.782321861302,5.95554749289,8.617e-05,20.030984343
MTD2226,SI,1.26846996163,0.556212460734,286.743942413,305.141358639,-6.88857609748,6.33002935154,8.617e-05,-0.246925060935
MTD2227,SI,0.459960519024,1.4211979477,293.945617788,302.161624769,0.894789719184,6.80865557324,8.617e-05,18.9781603888
MTD2228,SI,0.357249935533,1.56428557827,293.109679276,303.226351037,1.08026897633,8.17891209766,8.617e-05,23.8725443148
MTD2229,SI,1.22125532406,0.406889434896,296.031960212,342.151364296,0.783599294008,10.3257032822,8.617e-05,44.2090035207
MTD2230,SI,0.359880617515,1.72302476183,292.447146052,299.167475073,0.893893609815,4.0449609637,8.617e-05,14.9194309254
MTD2231,SI,1.83081929239,0.31336479956,288.422175735,306.016850374,-6.65671837006,8.52784485806,8.617e-05,-27.9730966106
MTD2232,SI,1.45173133506,0.437263451929,288.205968829,305.424175663,-23.4579320843,5.30117846816,8.617e-05,1.6224783092
MTD2233,SI,0.227655575402,1.95820328402,292.102864898,301.214130085,1.42846914382,6.71556899767,8.617e-05,20.9829610034
MTD2234,SI,0.146075551337,1.95176969498,294.487014667,301.049367161,1.37608699884,5.8036728598,8.617e-05,14.6964936893
MTD2235,SI,1.00231112511,1.53699209461,291.01435498,298.294405737,0.9454848511,4.64955826234,8.617e-05,13.113117707
MTD2236,SI,0.829712417668,1.48531987994,288.851957536,300.522351138,0.897152355334,9.00664980365,8.617e-05,17.1411375822
MTD2237,SI,1.08653333619,1.63467147877,288.902359111,296.999800617,0.958500277166,4.61655590122,8.617e-05,24.0266699622
MTD2238,SI,0.989463674926,1.43305875622,290.30819885,299.740551591,0.960387395542,6.42701706794,8.617e-05,24.1737286696
MTD2239,SI,0.875900340774,1.53387265994,288.367224354,298.435616731,0.828661518861,5.28061338657,8.617e-05,23.7685670811
MTD2240,SI,1.47090683039,0.985468677265,291.462281877,300.72311004,0.639766181118,5.98736062922,8.617e-05,-0.856114375349
MTD2241,SI,2.61621642233,0.229188083526,286.700661338,303.173872476,-2.28475870873,5.64922259942,8.617e-05,4.45147874844
